Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,16.0838,0,169.5296,114,165.6396,0.000534,0.000931,0.0,0.0,Aug,2,2,1,3,Returning_Visitor,0,0
0,3.492,0,0.0,0,1588.7839,0.071386,0.059083,17.52064,0.0,Dec,2,2,7,1,Returning_Visitor,0,1
0,34.2533,0,0.0,0,21.8756,0.000865,0.04133,0.0,0.0,May,2,2,1,1,Returning_Visitor,0,0
17,3.1722,0,0.0,7,4001.5063,0.055097,0.001671,29.05504,0.0,May,3,2,4,13,Returning_Visitor,0,0
11,2.4909,0,0.0,19,628.0687,0.00646,0.057859,54.618196,0.6,May,3,2,7,3,Returning_Visitor,1,0
1,4.6605,0,0.0,4,769.6273,0.000595,0.021325,0.0,0.0,Dec,4,2,4,2,Returning_Visitor,0,0
0,49.1358,0,0.0,0,58.0551,0.073253,0.090623,71.86789,0.0,May,3,1,1,1,Returning_Visitor,0,1
0,30.9513,0,49.8986,64,2433.6762,0.032212,0.010222,0.0,0.0,June,2,2,3,2,Returning_Visitor,0,0
0,372.1309,0,0.0,20,1454.6335,0.057828,0.021888,0.0,0.8,Dec,2,1,2,3,Returning_Visitor,0,0
4,11.257,0,11.9069,3,1128.4658,0.000143,0.034662,75.265685,0.0,Dec,2,2,3,3,Returning_Visitor,1,0
0,22.8614,3,0.0,0,2694.0254,0.000693,0.004427,0.0,0.0,Mar,3,1,1,20,Returning_Visitor,1,0
0,16.1024,0,0.0,58,183.2857,0.002646,0.012284,0.0,0.0,Jul,2,2,2,2,Returning_Visitor,0,0
0,0.5672,2,0.0,108,7963.707,0.0,0.03003,0.0,0.0,Mar,2,2,8,10,Returning_Visitor,1,0
3,53.1419,0,0.0,61,738.5413,0.007395,0.002125,13.291016,0.6,Nov,2,2,1,4,Returning_Visitor,0,0
0,134.4906,0,0.0,32,935.519,0.074821,0.004995,0.0,0.0,Sep,2,2,1,2,Returning_Visitor,0,0
2,33.6606,0,0.0,1,204.1398,0.021408,0.028179,147.189429,0.0,May,3,2,3,1,Returning_Visitor,0,0
3,7.8763,0,0.0,30,263.981,2.3e-05,0.015922,0.0,0.0,Jul,2,10,1,1,Returning_Visitor,0,0
0,174.4842,1,0.0,55,92.6901,1e-06,0.048037,30.341765,0.0,Dec,6,2,2,10,New_Visitor,0,0
6,32.7602,0,0.0,0,80.8373,0.012038,0.009838,30.672008,0.0,Nov,2,2,3,2,Returning_Visitor,1,0
0,849.474,4,0.0,10,29.3856,0.009636,0.027406,23.352105,0.0,Nov,2,2,4,1,Returning_Visitor,1,0
3,24.814,0,0.0,28,492.4625,0.007116,0.034317,0.0,0.2,May,2,2,1,2,New_Visitor,1,0
7,18.3402,0,0.0,15,848.6536,0.000633,0.020921,0.0,0.0,Nov,3,4,1,2,Returning_Visitor,1,1
0,85.8858,0,0.0,2,2411.2016,0.037791,0.011272,0.0,0.0,May,2,2,7,1,Returning_Visitor,0,0
3,376.6085,0,0.0,18,906.2974,1.7e-05,0.010157,0.0,0.0,May,3,1,9,3,New_Visitor,0,1
3,11.5447,0,0.0,49,907.1635,5.8e-05,5.8e-05,0.0,0.0,Jul,2,2,1,2,Returning_Visitor,0,1
1,6.8331,0,0.0,4,66.0505,0.010632,0.01848,0.0,0.0,Nov,3,2,2,4,Returning_Visitor,1,0
0,31.4863,0,0.0,3,164.5983,0.002606,0.001709,0.0,0.0,May,1,1,4,13,Returning_Visitor,0,0
0,22.3364,0,0.0,36,304.997,0.011323,0.009323,0.0,0.0,Nov,2,2,6,1,Returning_Visitor,0,1
0,42.4643,0,0.0,5,42636.7394,0.001241,0.001473,0.0,0.0,May,1,4,4,11,New_Visitor,0,0
8,0.8363,0,0.0,0,854.9347,0.005556,0.005186,0.0,0.0,Nov,2,2,7,13,Returning_Visitor,0,0
0,0.6096,2,46.9934,36,1075.0366,0.001295,0.033769,0.0,0.0,May,1,8,1,3,Returning_Visitor,0,0
0,0.3947,0,0.0,26,111.0813,0.000909,0.008281,29.053586,0.0,Jul,2,5,1,8,Returning_Visitor,0,0
0,0.3652,1,0.0,8,386.5572,0.010249,0.004121,0.0,0.0,June,3,6,4,4,Returning_Visitor,1,0
10,75.1949,2,112.4374,9,718.2259,0.020679,0.004574,0.0,0.0,Sep,2,1,3,7,Returning_Visitor,0,0
1,1635.4879,0,0.0,100,22781.7933,0.007979,0.000934,0.0,0.0,Nov,1,2,4,2,Returning_Visitor,0,0
4,0.8996,0,30.9033,112,82.3186,0.037574,0.015359,9.037443,0.0,Dec,1,2,3,2,Returning_Visitor,0,0
7,1.2691,0,0.0,20,254.0023,0.012107,0.019157,7.383869,0.0,Sep,2,2,3,1,Returning_Visitor,0,0
4,314.6513,0,0.0,27,173.6491,0.05665,0.01566,0.0,0.0,Nov,2,2,1,3,Returning_Visitor,0,0
0,59.03,5,0.0,6,372.1096,0.018288,0.003209,0.0,0.0,Oct,2,1,3,3,Returning_Visitor,1,0
0,2.5034,4,0.0,14,361.6562,0.000124,0.041619,42.559337,0.0,May,2,5,1,4,Returning_Visitor,0,0
4,1.3473,0,0.0,3,1643.1693,0.000277,0.000365,0.0,0.0,Nov,4,1,4,2,Returning_Visitor,0,0
0,169.3359,1,0.0,13,363.2138,0.009294,0.009469,0.0,0.2,May,2,2,7,1,Returning_Visitor,0,0
0,0.3632,3,0.0,137,197.1815,0.004179,0.036863,0.0,0.0,May,2,2,3,4,Returning_Visitor,0,0
0,12.2692,1,0.0,8,214.0208,0.00237,7.6e-05,0.0,0.0,May,1,2,2,6,Returning_Visitor,0,0
11,46.1281,0,0.0,28,13.8834,0.008136,0.025436,0.0,0.0,Mar,4,2,1,11,Returning_Visitor,0,0
1,11.7695,0,0.0,18,325.1843,0.001915,0.008994,0.0,0.0,Sep,2,8,9,20,Returning_Visitor,0,0
0,5.3494,0,0.0,16,257.6552,0.032536,0.001024,9.018444,0.6,Jul,3,2,2,2,Returning_Visitor,1,1
1,14.6367,0,1650.6441,0,2045.5537,0.003009,0.001732,77.928848,0.0,Nov,1,1,7,6,Returning_Visitor,0,0
1,69.715,0,0.0,31,5016.6451,0.010311,0.005506,0.0,0.0,May,2,1,3,2,Returning_Visitor,1,0
0,329.6455,0,0.0,8,3158.2759,0.047641,0.00424,0.0,0.0,Nov,2,4,1,2,Returning_Visitor,1,0
8,0.3239,0,24.2619,74,89.478,0.000808,0.03081,0.0,1.0,Nov,2,2,9,8,Returning_Visitor,0,1
0,3.3007,0,0.0,27,1167.7164,0.020018,0.003812,0.0,0.0,Jul,2,2,9,6,Returning_Visitor,0,0
2,338.2547,0,15.8566,36,271.4304,0.034011,0.057934,24.572917,0.0,Sep,3,4,1,6,Returning_Visitor,0,1
0,407.5378,0,52.0025,67,2361.925,0.00014,0.026723,0.0,0.0,Nov,1,2,1,2,Returning_Visitor,1,0
0,76.0439,0,0.0,180,18.1051,0.005004,0.037652,0.0,0.0,Mar,8,1,4,8,Returning_Visitor,0,0
1,0.942,0,63.8306,29,552.7518,0.000328,0.0562,0.0,0.0,Mar,3,2,1,2,New_Visitor,1,1
0,1.3961,0,0.0,5,322.0248,0.009903,0.001857,21.13417,0.0,Feb,1,2,3,13,New_Visitor,0,0
0,10.7024,0,457.1799,0,269.9354,0.029015,0.076103,0.0,0.0,Nov,1,2,3,2,Returning_Visitor,0,0
0,23.7078,0,0.0,84,174.9024,0.014129,0.004486,22.713194,0.0,Dec,2,5,2,3,Returning_Visitor,0,0
1,43.3229,0,0.0,1,4199.2117,0.04156,0.002613,0.0,0.0,Nov,4,2,1,2,Returning_Visitor,1,0
2,0.403,0,0.0,0,39.91,0.026735,0.005438,66.225496,0.0,Nov,2,2,6,3,Returning_Visitor,0,0
2,40.7478,0,0.0,17,2037.7748,0.006743,0.020234,0.0,0.0,Nov,2,2,6,3,Returning_Visitor,1,0
0,14.4607,0,0.0,37,54.2123,0.033472,0.010587,0.0,0.0,Nov,2,4,3,1,Returning_Visitor,0,1
9,12.5557,0,0.0,0,70.2848,0.000495,0.060058,0.0,0.0,Jul,1,2,4,2,New_Visitor,0,0
0,37.1035,0,39.5361,31,278.8958,8.7e-05,0.020236,0.0,0.0,Sep,1,2,3,4,Returning_Visitor,1,0
4,15.1082,0,0.0,15,1761.6068,0.023193,0.025722,0.0,0.0,Dec,2,1,1,1,Returning_Visitor,0,0
1,1.3875,0,0.0,3,1333.0774,0.009486,0.005078,0.0,0.0,Nov,2,2,3,3,Returning_Visitor,0,1
0,201.8126,0,0.0,12,970.5702,0.002746,0.00155,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,0,0
7,0.4709,0,0.0,0,2455.9123,0.000739,0.000716,0.0,0.0,Mar,4,2,1,1,Returning_Visitor,0,0
0,9.5696,0,0.0,19,261.0193,0.001823,0.00448,0.0,0.0,Mar,2,2,1,3,New_Visitor,1,0
2,0.0132,0,0.0,2,135.9878,0.020059,0.00362,25.170999,0.0,Nov,1,2,1,1,Returning_Visitor,0,1
7,29.832,0,0.0,35,178.2127,0.056631,0.071249,0.0,0.0,Mar,1,2,1,2,Returning_Visitor,0,1
0,37.1361,0,0.0,3,7.6386,0.040883,0.004788,0.0,0.0,Nov,2,4,3,2,Returning_Visitor,0,0
0,1.8598,0,18.9926,5,1188.6385,0.00692,0.016585,0.0,0.0,Nov,3,2,6,2,Returning_Visitor,0,0
0,7.247,0,0.0,21,1344.5158,0.02344,0.002333,0.0,0.0,June,2,2,1,10,New_Visitor,0,0
1,87.2121,0,0.0,53,126.9902,0.003283,0.00167,0.0,0.0,May,2,1,3,3,Returning_Visitor,0,0
2,3.2818,0,84.4943,74,7278.6272,0.00988,0.002533,0.0,0.0,Nov,2,2,2,3,Returning_Visitor,0,0
2,0.2056,0,359.2867,22,9923.7398,0.038466,0.02931,0.0,0.0,Nov,4,5,8,1,New_Visitor,0,0
0,0.0888,0,0.0,3,662.6341,0.002172,0.016344,1.350296,0.0,May,2,2,1,2,Returning_Visitor,0,1
2,0.6125,0,0.0,14,281.6,0.035674,0.01791,0.0,0.0,Nov,1,2,1,3,New_Visitor,0,0
2,1237.9653,0,0.0,31,396.8417,2e-06,0.005075,37.297597,0.0,Nov,2,2,6,2,Returning_Visitor,0,0
0,172.9451,0,0.0,0,147.5503,0.004508,0.00585,0.0,0.0,Mar,2,2,2,3,New_Visitor,0,1
0,0.8275,0,48.5963,2,1791.6776,0.000401,0.006252,0.0,0.0,Nov,2,2,1,4,New_Visitor,0,0
7,0.2793,0,0.0,22,1329.2972,0.012975,0.01732,6.078981,0.0,Dec,2,1,5,1,Returning_Visitor,0,0
4,78.966,0,0.0,11,52.7997,0.025277,0.004436,0.0,0.0,Nov,3,2,9,2,Returning_Visitor,0,1
1,0.8256,0,26.1996,13,4189.8498,0.000186,0.033732,30.084904,0.4,Sep,4,2,7,20,New_Visitor,1,0
0,4.2564,0,0.0,9,39.9197,0.001044,0.008638,0.0,0.0,Mar,2,2,1,4,Returning_Visitor,0,0
2,17.6948,0,0.0,91,22699.0304,0.001979,0.005684,0.0,0.0,Nov,2,2,4,2,New_Visitor,0,0
11,26.7842,0,0.0,84,24.2119,0.034043,0.003339,22.251696,0.0,Nov,2,2,1,2,Returning_Visitor,0,0
8,1.0541,0,0.0,16,252.051,0.016147,0.023903,19.761155,0.0,May,2,2,3,10,Returning_Visitor,0,1
0,4.7001,1,107.7259,140,138.8797,0.004733,0.012395,59.071372,0.0,Mar,2,2,1,2,Returning_Visitor,0,0
0,26.3825,0,0.0,0,271.4351,0.008853,0.014189,0.0,0.0,May,3,8,1,2,Returning_Visitor,0,0
15,0.0799,0,30.274,5,44.2746,0.000584,0.004251,0.0,0.6,Jul,1,1,1,2,Returning_Visitor,0,0
0,6.4608,0,0.0,5,89.7952,0.021908,0.027091,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,1,0
5,260.7521,0,0.0,7,386.3976,0.053222,0.000406,6.738133,0.0,Nov,3,2,1,1,Returning_Visitor,1,0
0,26.2545,0,0.0,47,34.7348,0.004595,0.055948,68.595814,0.0,Dec,2,2,2,9,Returning_Visitor,0,0
10,1.435,0,0.0,104,4.7598,0.012036,0.005292,0.0,0.0,Mar,2,2,7,2,Returning_Visitor,0,1
1,4.3272,2,0.0,2,15151.7531,0.016537,0.016852,0.0,0.0,Nov,3,2,4,13,Returning_Visitor,0,0
0,61.8511,0,17.8764,19,2738.7649,0.001169,0.023824,0.0,0.0,May,2,2,6,2,Returning_Visitor,0,0
6,108.9751,0,0.0,36,6.6949,0.01895,0.010582,0.0,0.0,Mar,1,4,3,5,Returning_Visitor,0,0
2,7.2519,0,0.0,34,69.9328,0.074971,0.001134,0.0,0.0,Dec,1,1,1,2,Returning_Visitor,1,0
0,0.6041,0,0.0,36,45.3144,0.00776,0.014022,0.0,0.0,May,2,2,3,4,Returning_Visitor,0,0
4,45.7504,1,0.0,70,5890.3879,0.006581,0.004113,0.0,0.0,May,2,2,1,2,Returning_Visitor,1,0
6,52.2829,1,0.0,31,29.0346,0.000424,0.028112,0.0,0.0,Nov,3,2,2,1,Returning_Visitor,0,0
1,0.0786,1,0.0,53,1440.4154,0.00111,0.008905,13.402535,0.0,Nov,2,2,1,2,Returning_Visitor,0,0
4,56.5324,0,0.0,0,534.7304,0.00767,0.060139,9.969534,0.0,Oct,2,1,4,13,Returning_Visitor,1,1
2,6.2874,0,0.0,22,158.4086,0.00124,0.017508,107.44035,0.0,May,2,2,2,4,Returning_Visitor,0,0
7,1.9762,0,0.0,29,63.9429,0.0442,0.003441,0.0,0.0,Oct,3,1,1,3,Returning_Visitor,1,0
0,11.9239,0,0.0,0,3188.1152,0.003248,0.049025,0.0,0.0,Mar,3,10,3,3,Returning_Visitor,0,0
0,1.0982,0,0.0,1,844.7912,0.057117,0.023989,0.0,0.0,Dec,2,4,4,6,Returning_Visitor,0,0
0,40.5486,1,0.0,131,23462.2483,0.007348,0.028616,0.0,0.0,Jul,1,2,1,2,Returning_Visitor,0,0
4,3.6872,0,210.3284,6,94.634,0.005477,0.001434,0.0,0.0,Nov,3,2,2,13,Returning_Visitor,0,0
0,3398.75,0,0.0,166,8715.0735,0.019285,0.000688,16.397858,0.0,May,2,2,1,20,Returning_Visitor,0,0
3,572.1681,1,0.0,22,254.1863,8.7e-05,0.004181,0.0,0.0,Mar,1,2,4,2,New_Visitor,0,0
0,1.3104,0,0.0,34,194.7947,0.025273,0.027018,0.0,0.0,Dec,1,2,6,2,Returning_Visitor,0,0
1,193.5329,1,134.8444,3,63.332,0.010506,0.037853,0.0,0.0,Nov,2,2,1,10,New_Visitor,0,0
2,2.1938,0,0.0,39,1192.5778,0.024624,0.015901,0.0,0.6,Dec,2,2,2,1,Returning_Visitor,0,0
1,0.5197,0,0.0,177,64.1222,0.03533,0.023734,0.0,0.0,May,2,2,4,3,Returning_Visitor,1,1
4,0.4541,0,0.0,13,10.3408,0.014616,0.010496,28.32781,0.6,Nov,3,2,6,1,Returning_Visitor,0,0
0,151.5704,1,0.0,13,48.9178,0.091193,0.008481,0.0,0.0,Dec,2,2,4,1,Returning_Visitor,0,0
5,0.4564,0,0.0,69,2725.3468,0.005292,0.001448,0.0,0.0,Oct,1,2,1,2,Returning_Visitor,0,0
0,37.3108,0,0.0,42,5299.8001,0.008746,0.044496,0.0,0.0,Mar,2,1,9,13,New_Visitor,0,0
0,0.7326,0,0.0,1,1025.2605,0.009752,0.015959,0.0,0.0,May,3,6,3,10,Returning_Visitor,0,0
1,15.896,0,0.0,39,1020.4602,0.023338,0.002782,0.0,0.0,Nov,1,2,2,1,Returning_Visitor,0,0
2,1.3535,0,0.0,64,154.0711,0.008713,0.004514,0.0,0.0,Mar,2,10,6,3,Returning_Visitor,0,1
13,93.9072,0,0.0,1,55.1205,0.020745,0.049571,0.0,0.0,May,2,2,1,2,Returning_Visitor,0,0
1,11.8802,1,0.0,47,260.7634,0.0,0.015348,0.0,0.6,Dec,2,1,1,1,Returning_Visitor,0,0
0,5.6038,4,0.0,0,294.6099,0.001494,0.026162,0.0,1.0,Nov,3,4,3,2,Returning_Visitor,0,0
0,10.8686,0,33.5008,1,102.9407,0.08322,0.003038,9.42397,0.0,May,4,1,9,4,Returning_Visitor,0,0
0,0.8395,0,82.3318,10,277.1517,0.032878,0.00246,0.0,0.0,Sep,2,2,8,20,Returning_Visitor,0,0
0,8.0171,0,176.8773,28,9266.8218,7.3e-05,0.001069,0.0,0.0,May,1,2,2,2,Returning_Visitor,0,0
5,1.1314,0,0.0,22,166.1505,0.00174,0.03485,0.0,0.0,Dec,3,1,1,2,Returning_Visitor,0,0
1,2.1914,0,0.0,0,1592.6802,0.000347,0.023112,0.0,0.0,Mar,2,3,7,13,Returning_Visitor,0,1
0,15.089,0,0.0,2,196.4887,0.00336,0.053114,43.282507,0.0,Nov,1,2,1,2,Returning_Visitor,0,0
0,5.2145,0,0.0,120,185.0667,0.000926,0.022695,0.0,0.0,May,3,2,6,3,Returning_Visitor,0,0
0,200.0394,4,54.035,15,23.4334,0.000619,0.058483,0.0,0.0,Nov,2,2,1,8,Returning_Visitor,1,0
1,5.6254,0,0.0,32,2976.7653,0.001681,0.013971,0.0,0.0,Mar,1,1,1,20,Returning_Visitor,1,0
2,36.7871,0,0.0,2,88.845,0.001266,0.051514,0.0,0.0,Mar,2,2,6,6,Returning_Visitor,1,0
0,2.436,0,31.9345,0,86.1236,0.04959,0.035746,0.0,0.0,May,2,2,6,3,New_Visitor,0,1
0,37.7997,0,0.0,4,828.4254,0.010822,0.065615,33.57221,0.0,Nov,2,4,1,4,New_Visitor,0,1
11,1.6717,0,0.0,5,55.0905,0.013878,0.002242,0.0,0.0,Dec,2,2,1,11,Returning_Visitor,1,0
0,2.7516,1,0.0,6,579.125,0.092562,0.019698,0.0,0.0,Dec,2,2,7,13,Returning_Visitor,0,0
0,241.1969,2,0.0,41,545.4411,0.088209,0.01626,0.0,0.0,Jul,2,2,1,11,New_Visitor,0,0
11,18.1294,0,0.0,22,125.5346,0.001629,0.0054,0.0,0.6,May,2,2,1,1,New_Visitor,0,1
14,0.163,0,0.0,62,28.3137,4.9e-05,0.0158,0.0,0.0,Oct,2,2,3,3,Returning_Visitor,0,0
0,329.6935,0,0.0,5,55.1805,0.028398,0.035084,7.671231,0.0,Nov,2,2,1,1,Returning_Visitor,0,0
0,3.1168,0,0.0,20,172.3407,0.012203,0.03551,0.0,0.0,Sep,2,4,5,2,Returning_Visitor,0,0
0,6.4582,0,0.0,2,119.6615,0.001154,0.004002,112.437694,0.0,Nov,2,1,6,2,Returning_Visitor,0,0
0,42.9518,0,0.0,0,2546.2829,0.004044,0.00161,0.0,0.0,Nov,1,2,2,1,Returning_Visitor,0,0
5,16.6214,0,0.0,0,20.4064,0.032,0.000308,0.0,0.0,Nov,2,10,3,2,Returning_Visitor,0,0
4,1.8586,1,0.0,4,206.6153,0.022354,0.006733,0.0,0.0,Dec,1,5,1,3,Returning_Visitor,0,0
0,0.3963,0,0.0,99,140.3134,0.012859,0.038987,0.0,0.0,Sep,2,5,1,10,Returning_Visitor,1,0
1,0.2461,2,193.0192,14,32.2802,0.000565,0.059573,6.523675,0.0,May,1,2,3,3,Returning_Visitor,0,1
3,14.0073,2,0.0,21,1248.4676,0.002088,0.039887,0.0,0.0,Mar,1,2,6,4,Returning_Visitor,0,0
0,3.2354,3,0.0,63,4976.094,0.00719,0.035744,0.0,0.0,May,2,1,2,6,Returning_Visitor,0,0
3,64.8243,3,0.0,2,20.2982,0.001095,0.005976,28.533686,0.0,Mar,2,4,1,8,Returning_Visitor,1,1
0,0.6441,2,0.0,10,500.8477,0.000706,0.015437,0.0,0.6,May,3,2,7,4,New_Visitor,0,0
0,0.5458,2,81.883,74,799.8629,0.001588,0.038101,69.971307,0.0,Dec,2,2,1,2,Returning_Visitor,0,0
5,0.1431,0,0.0,24,353.725,0.002276,0.005918,0.0,0.6,Sep,1,1,3,4,Returning_Visitor,0,0
3,4.308,2,0.0,309,63973.5222,0.001056,0.038005,0.0,0.0,May,3,2,3,2,Returning_Visitor,1,0
0,151.2819,3,5.7046,4,1999.7312,0.018216,0.001724,0.0,0.0,Mar,2,4,5,6,Returning_Visitor,0,1
1,33.9322,0,15.0026,53,26852.3017,0.020947,0.029388,0.0,0.0,Nov,2,2,1,1,New_Visitor,0,0
0,38.9244,0,22.5073,3,158.3187,0.009687,0.023306,0.0,0.0,Feb,2,2,6,6,Returning_Visitor,0,0
0,21.7033,0,0.0,2,47191.4754,0.011051,0.008508,0.0,0.0,May,2,4,1,3,Returning_Visitor,0,0
12,0.2088,0,0.0,27,382.3402,0.014155,0.003786,0.0,0.0,May,2,2,1,4,Returning_Visitor,0,0
1,0.1405,1,0.0,79,1965.3547,2.6e-05,0.002092,0.0,0.0,Mar,3,2,1,3,Returning_Visitor,1,1
0,2.662,0,0.0,5,76.838,0.005767,0.036072,37.316853,0.8,Sep,2,1,1,2,Returning_Visitor,0,0
2,110.713,0,0.0,38,188.3926,0.011758,0.033837,0.0,0.0,Feb,3,1,3,1,Returning_Visitor,1,0
4,25.5401,0,0.0,31,1154.3768,0.004138,0.021797,6.284281,1.0,Mar,1,1,1,11,Returning_Visitor,0,0
0,6.8816,0,404.7874,29,14450.153,4.2e-05,0.04067,0.0,0.0,Nov,2,4,3,2,New_Visitor,0,0
0,3.7057,0,9.513,1,11.5456,0.00185,0.008702,12.592389,0.0,Mar,1,2,5,11,Returning_Visitor,0,0
0,43.0632,2,0.0,0,113.1625,0.005596,0.002864,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,1,0
0,5.6675,0,0.0,43,2377.905,0.070966,0.039744,0.0,0.6,Nov,2,5,6,2,New_Visitor,0,0
0,192.6246,0,0.0,31,122.1211,0.026975,0.009663,0.0,0.0,May,2,1,1,2,Returning_Visitor,0,0
0,30.5902,0,78.4904,46,86.753,0.001834,0.001956,0.0,0.0,Dec,2,4,3,4,Returning_Visitor,1,0
0,201.6555,0,0.0,107,379.6745,0.01223,0.03584,0.0,0.0,Oct,2,2,1,13,Returning_Visitor,0,0
2,62.247,0,8.3755,26,461.2453,0.009259,0.008305,6.960396,0.0,Nov,1,2,1,1,Returning_Visitor,0,0
0,32.9946,0,0.0,8,5265.173,0.001257,0.001989,0.0,0.0,Feb,2,2,4,1,Returning_Visitor,0,0
0,187.6136,0,0.0,41,65.9987,0.019716,0.006727,0.0,0.0,Dec,3,5,3,2,Returning_Visitor,0,0
4,8.6937,0,0.0,30,876.286,0.000942,0.004446,0.0,0.0,May,3,5,3,5,Returning_Visitor,1,0
3,0.0651,1,0.0,20,9933.9911,0.08012,0.019535,0.0,0.0,Feb,2,1,4,1,Returning_Visitor,0,0
0,2.6679,0,0.0,23,313.1459,0.062411,0.003835,0.0,0.0,Nov,3,2,4,4,Returning_Visitor,0,0
0,31.0419,0,33.8639,14,4.3727,0.01092,0.025667,0.0,0.0,Dec,1,1,3,4,Returning_Visitor,0,0
0,2.4551,0,0.0,23,181.6297,0.001933,0.033886,0.0,0.0,Mar,3,1,1,3,New_Visitor,0,0
0,7.4458,0,0.0,0,10986.4436,0.015401,0.000575,36.437912,0.0,Nov,2,2,3,15,Returning_Visitor,1,0
0,0.1735,0,0.0,6,64.8679,0.015617,0.036043,0.0,0.0,May,2,2,3,13,Returning_Visitor,0,0
3,3398.75,0,0.0,27,2921.6137,0.018009,0.094456,19.350935,0.0,May,2,4,6,2,Returning_Visitor,1,1
0,46.5289,2,0.0,95,1088.7256,0.005147,0.002814,0.0,0.0,Mar,1,2,3,2,Returning_Visitor,1,1
0,128.9455,0,37.5088,3,1312.2968,0.00034,0.013531,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,0,0
0,600.1196,0,0.0,0,586.662,0.052755,0.0165,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,0,0
0,0.0274,0,0.0,15,30.7821,0.000131,0.055644,0.0,0.0,Oct,2,2,1,20,Returning_Visitor,0,0
1,18.7837,0,0.0,1,189.299,0.010637,8.3e-05,0.0,0.0,Nov,1,2,1,2,Returning_Visitor,0,0
0,4.7082,2,0.0,0,268.0003,0.000474,0.027077,52.27553,0.0,Dec,3,1,1,5,Returning_Visitor,0,0
1,6.6902,0,0.0,6,1683.5698,0.02746,0.017968,0.0,0.0,Dec,1,2,3,1,Returning_Visitor,0,1
0,3.8969,0,94.6731,21,340.3674,0.0414,0.048011,0.0,0.0,Mar,1,1,3,20,Returning_Visitor,1,0
1,9.2527,0,2549.375,1,1598.4714,0.004762,0.025311,0.0,0.0,Nov,2,2,2,2,Returning_Visitor,0,0
0,4.7376,0,0.0,53,717.0681,0.01331,0.044027,0.0,0.0,May,3,2,1,5,Returning_Visitor,1,0
12,77.1023,0,0.0,123,1394.6919,0.000951,0.01076,0.0,0.0,May,2,5,6,2,Returning_Visitor,0,0
0,3.5328,0,0.0,121,883.9666,0.018931,0.043661,0.0,0.0,May,2,13,4,3,Returning_Visitor,0,1
0,2.803,0,0.0,13,31.8646,0.01922,0.033142,0.0,0.0,May,4,2,1,3,Returning_Visitor,1,0
